,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill
0,24.5,-125.0,70.49226878012385,70.46015747070317,69.36630371093754,70.49226878012385,70.46015747070317,69.36630371093754
1,24.5,-124.375,69.82770224786579,69.80077577652474,68.77567871093754,69.82770224786579,69.80077577652474,68.77567871093754
2,24.5,-123.75,69.56550466722061,69.54088000882061,68.62099121093755,69.56550466722061,69.54088000882061,68.62099121093755
3,24.5,-123.125,69.84573400189804,69.8247826754663,68.73349121093754,69.84573400189804,69.8247826754663,68.73349121093754
4,24.5,-122.5,69.95245023173675,69.93231933593752,68.88817871093755,69.95245023173675,69.93231933593752,68.88817871093755
5,24.5,-121.875,69.96452810472061,69.94300088205648,68.83983886718755,69.96452810472061,69.94300088205648,68.83983886718755
6,24.5,-121.25,69.87958606843031,69.8511587229083,68.27733886718755,69.87958606843031,69.8511587229083,68.27733886718755
7,24.5,-120.625,69.40389932447867,69.37731484690023,68.10858886718754,69.40389932447867,69.37731484690023,68.10858886718754
8,24.5,-120.0,69.72194997972062,69.69014522429441,68.48036621093755,69.72194997972062,69.69014522429441,68.48036621093755
9,24.5,-119.375,69.75755985875286,69.72443142798645,68.17099121093754,69.75755985875286,69.72443142798645,68.17099121093754
10,24.5,-118.75,69.56573148173675,69.53402772964972,67.73505371093754,69.56573148173675,69.53402772964972,67.73505371093754
11,24.5,-118.125,69.66139050391418,69.62230287613413,67.77724121093755,69.66139050391418,69.62230287613413,67.77724121093755
12,24.5,-117.5,69.57678868939801,69.53711984942042,67.49599121093755,69.57678868939801,69.53711984942042,67.49599121093755
13,24.5,-116.875,69.22545300391417,69.18652662707919,66.9399731445313,69.22545300391417,69.18652662707919,66.9399731445313
14,24.5,-116.25,69.22199408254319,69.18373928931454,67.33603027343754,69.22199408254319,69.18373928931454,67.33603027343754
15,24.5,-115.625,69.67284463697868,69.63888691563764,68.15692871093754,69.67284463697868,69.63888691563764,68.15692871093754
16,24.5,-115.0,70.74482674383353,70.71269771452877,69.08505371093754,70.74482674383353,70.71269771452877,69.08505371093754
17,24.5,-114.375,71.74751701601095,71.70966446415073,68.69130371093755,71.74751701601095,71.70966446415073,68.69130371093755
18,24.5,-113.75,72.13832950222881,72.09804356728834,68.16483886718754,72.13832950222881,72.09804356728834,68.16483886718754
19,24.5,-113.125,72.4332450768256,72.40038377331152,69.86497314453129,72.4332450768256,72.40038377331152,69.86497314453129
20,24.5,-112.5,72.78151876634172,72.21046205582162,70.44972045898442,72.78151876634172,72.21046205582162,70.44972045898442
21,24.5,-111.875,76.36524482480947,69.80804270098291,67.26939819335942,76.36524482480947,69.80804270098291,67.26939819335942
22,24.5,-111.25,84.40570601432556,66.28742778162805,58.59503295898442,84.40570601432556,66.28742778162805,58.59503295898442
