,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill,average_hi,average_max_daily_hi
0,24.5,-125.0,64.35706703186038,64.03267578125005,60.4389233398438,64.35706703186038,64.03267578125005,60.4389233398438,64.35706703186038,64.65751342773441
1,24.5,-124.375,64.22003578186039,63.9144525146485,60.55493896484379,64.22003578186039,63.9144525146485,60.55493896484379,64.22003578186039,64.51014160156258
2,24.5,-123.75,63.99747718811041,63.672925415039145,60.1752514648438,63.99747718811041,63.672925415039145,60.1752514648438,63.99747718811041,64.29805725097663
3,24.5,-123.125,63.876695938110394,63.550333862304726,60.1049389648438,63.876695938110394,63.550333862304726,60.1049389648438,63.876695938110394,64.16886413574224
4,24.5,-122.5,63.77038734436039,63.448438720703166,60.07395751953129,63.77038734436039,63.448438720703166,60.07395751953129,63.77038734436039,64.0690014648438
5,24.5,-121.875,63.575426406860394,63.26154602050786,59.94739501953129,63.575426406860394,63.26154602050786,59.94739501953129,63.575426406860394,63.87841857910158
6,24.5,-121.25,63.4430631256104,63.10082214355471,59.59583251953129,63.4430631256104,63.10082214355471,59.59583251953129,63.4430631256104,63.74452575683597
7,24.5,-120.625,63.472809219360364,63.120508422851614,59.41302001953129,63.472809219360364,63.120508422851614,59.41302001953129,63.472809219360364,63.78986938476565
8,24.5,-120.0,63.51577796936038,63.17403930664067,59.49091308593754,63.51577796936038,63.17403930664067,59.49091308593754,63.51577796936038,63.81624572753909
9,24.5,-119.375,63.513199844360415,63.18055236816412,59.60341308593755,63.513199844360415,63.18055236816412,59.60341308593755,63.513199844360415,63.788316650390676
10,24.5,-118.75,63.518317031860384,63.201296997070365,59.41236083984379,63.518317031860384,63.201296997070365,59.41236083984379,63.518317031860384,63.77376220703129
11,24.5,-118.125,63.6349967193604,63.31625244140632,59.59583251953129,63.6349967193604,63.31625244140632,59.59583251953129,63.6349967193604,63.88368652343756
12,24.5,-117.5,63.6491568756104,63.33578308105473,59.66614501953129,63.6491568756104,63.33578308105473,59.66614501953129,63.6491568756104,63.90819458007817
13,24.5,-116.875,63.674762344360374,63.36352050781256,59.89658325195317,63.674762344360374,63.36352050781256,59.89658325195317,63.674762344360374,63.953544921875014
14,24.5,-116.25,63.81220375061041,63.498556518554736,60.05802734375004,63.81220375061041,63.498556518554736,60.05802734375004,63.81220375061041,64.09730773925789
15,24.5,-115.625,63.90919593811038,63.59073486328129,60.21458251953129,63.90919593811038,63.59073486328129,60.21458251953129,63.90919593811038,64.18687500000007
16,24.5,-115.0,64.20480140686037,63.88260681152348,60.63645751953129,64.20480140686037,63.88260681152348,60.63645751953129,64.20480140686037,64.46728515625003
17,24.5,-114.375,64.56765296936041,64.23827819824221,60.648652343750044,64.56765296936041,64.23827819824221,60.648652343750044,64.56765296936041,64.84335388183601
18,24.5,-113.75,65.04505653381352,64.68518432617192,59.901032714843794,65.04505653381352,64.68518432617192,59.901032714843794,65.04505653381352,65.33151489257816
19,24.5,-113.125,65.64671669006358,65.27458312988286,59.64675415039066,65.64671669006358,65.27458312988286,59.64675415039066,65.64671669006358,65.97731018066412
20,24.5,-112.5,65.9767362213135,65.04469909667976,59.03333251953129,65.9767362213135,65.04469909667976,59.03333251953129,65.9767362213135,66.65386352539069
21,24.5,-111.875,69.71656044006352,62.741071166992214,55.75182617187504,69.71656044006352,62.741071166992214,55.75182617187504,69.69813087225472,73.44170747598882
22,24.5,-111.25,76.00809364318853,61.48849304199223,47.99998291015629,76.00440055266316,61.45894831778928,45.3409577318903,74.83143206229296,80.86807743361798
23,24.5,-110.625,72.18777137756352,63.61763366699223,56.289826660156294,72.18777137756352,63.61763366699223,56.289826660156294,71.99110478523029,76.13963045583986
24,24.5,-110.0,67.94384559631354,65.49029968261722,62.46326416015629,67.94384559631354,65.49029968261722,62.46326416015629,67.94384559631354,69.29092346191412
25,24.5,-109.375,67.05138465881352,66.38111450195319,63.37414062500004,67.05138465881352,66.38111450195319,63.37414062500004,67.05138465881352,67.51008300781255
26,24.5,-108.75,66.90335731506353,66.3314526367188,63.708509521484416,66.90335731506353,66.3314526367188,63.708509521484416,66.90335731506353,67.40509948730472
27,24.5,-108.125,69.36034950256354,65.63263366699222,62.33054931640629,69.36034950256354,65.63263366699222,62.33054931640629,69.36034950256354,71.23172973632819
28,24.5,-107.5,76.26214637756357,66.88294616699224,55.98045166015629,76.26214637756357,66.88294616699224,55.98045166015629,75.69984306055821,79.42782381183055
29,24.5,-106.875,81.80010536193855,69.8375939941407,47.99998291015629,81.79727604547476,69.81495946243045,45.9628750562346,79.47802973153568,83.33680134532156
30,24.5,-106.25,70.59227577209478,56.35945007324225,30.761115722656292,70.55994884390454,56.219498787865376,30.761115722656292,70.06420013907663,75.06518730056385
31,24.5,-105.625,62.64515541076666,49.138717651367216,23.15066650390629,62.316261189624065,48.03860953406718,23.15066650390629,62.64255002593297,68.06469177246098
32,24.5,-105.0,65.17416389465338,50.84389099121099,24.24556396484379,64.83682744727994,49.18693319542662,18.064813794914603,65.10216544049402,71.06615474287227
33,24.5,-104.375,67.34434852600106,51.69736022949224,27.26131103515629,67.00662746604763,50.02461379427771,19.71937167615578,67.01732557786505,73.43463662773219
34,24.5,-103.75,68.26161903381356,53.3059149169922,30.04217041015629,67.92398037851987,51.685263949122415,20.865462873362656,67.86784397997357,74.01534131567017
35,24.5,-103.125,70.29221473693852,56.15907897949223,33.244904785156294,70.09993326258335,55.313557003052814,23.881659356025256,69.67283427455762,75.37998455340079
36,24.5,-102.5,71.02952919006351,56.31091491699224,35.70935791015629,70.84424906867312,55.411693485999514,27.51938250288204,70.2778786079483,75.99031232809305
37,24.5,-101.875,66.13116882324223,47.52184143066409,28.81741455078129,65.5317863252748,44.65481422527157,21.216782700484536,65.7636104030144,74.63335351432374
38,24.5,-101.25,65.15857116699225,46.495357055664094,27.66428955078129,64.47471884087905,43.52571093765334,21.86998230578891,64.88527312139088,73.9390718868942
39,24.5,-100.625,65.67359558105474,47.33184143066409,29.23928955078129,65.08508430102167,44.736569005466016,25.32801068542397,65.33666356167,74.29058711019428
40,24.5,-100.0,68.36855651855474,51.40457580566412,30.438117675781292,68.02166370521597,49.46237801616435,24.49349256452264,67.76435491153731,75.31760146689331
41,24.5,-99.375,73.07079788208013,57.9893157958985,31.54422119140629,72.81949228887296,57.10441827523308,21.11108471918098,72.05665720173768,78.50065559373787
42,24.5,-98.75,72.43450744628915,58.80262023925786,28.24217041015629,72.05290570170433,57.6658324557122,14.500494761448607,71.99156093378065,78.5121513553895
43,24.5,-98.125,72.97276062011724,60.38117858886723,31.11355712890629,72.57661943294522,59.24266681731803,18.118990432154913,72.98798123097352,79.11174402776867
44,24.5,-97.5,67.57224304199227,65.96432312011724,39.82527587890629,67.38936191492108,65.59342857166241,28.046514238965703,67.57224304199227,68.8023193359376
45,24.5,-96.875,69.00500671386722,68.41235351562506,44.80625732421879,68.90468115728923,68.30573425505187,35.21052387263115,69.00500671386722,69.7099859619141
46,24.5,-96.25,70.35938171386725,69.76087402343754,49.45325439453129,70.31559541019492,69.67155193197125,41.414266162565006,70.35938171386725,70.98004577636726
47,24.5,-95.625,70.97320983886725,70.34115173339848,52.98393066406254,70.97320983886725,70.34115173339848,52.98393066406254,70.97320983886725,71.54564086914068
48,24.5,-95.0,71.31617858886725,70.68666625976572,55.5511059570313,71.31617858886725,70.68666625976572,55.5511059570313,71.31617858886725,71.89324829101571
49,24.5,-94.375,71.47127624511725,70.87219482421882,57.491730957031294,71.47127624511725,70.87219482421882,57.491730957031294,71.47127624511725,72.05198547363291
50,24.5,-93.75,71.42569030761727,70.84303283691412,58.79954345703129,71.42569030761727,70.84303283691412,58.79954345703129,71.42569030761727,72.01427062988286
51,24.5,-93.125,71.32067077636725,70.72911193847663,60.0511059570313,71.32067077636725,70.72911193847663,60.0511059570313,71.32067077636725,71.90193054199224
52,24.5,-92.5,71.25067077636726,70.66367797851568,61.429230957031294,71.25067077636726,70.66367797851568,61.429230957031294,71.25067077636726,71.79775207519539
53,24.5,-91.875,71.38313171386726,70.8123760986329,62.10247314453129,71.38313171386726,70.8123760986329,62.10247314453129,71.38313171386726,71.91176330566412
54,24.5,-91.25,71.56363952636725,71.01182861328128,62.21008422851567,71.56363952636725,71.01182861328128,62.21008422851567,71.56363952636725,72.07383605957034
55,24.5,-90.625,71.75608093261725,71.21710815429695,62.322584228515666,71.75608093261725,71.21710815429695,62.322584228515666,71.75608093261725,72.25693359375006
56,24.5,-90.0,72.02106140136726,71.4677465820313,62.92161376953129,72.02106140136726,71.4677465820313,62.92161376953129,72.02106140136726,72.50508544921881
57,24.5,-89.375,72.52213562011725,71.94296997070319,64.0198071289063,72.52213562011725,71.94296997070319,64.0198071289063,72.52213562011725,72.9745819091797
58,24.5,-88.75,73.32879577636723,72.81187622070318,65.56272705078129,73.32879577636723,72.81187622070318,65.56272705078129,73.32879577636723,73.72220458984377
59,24.5,-88.125,74.50940124511725,74.0362573242188,66.2236645507813,74.50940124511725,74.0362573242188,66.2236645507813,74.50940124511725,74.91388610839849
60,24.5,-87.5,75.47043640136727,75.02016967773443,67.2221020507813,75.47043640136727,75.02016967773443,67.2221020507813,75.6174697148593,76.07662639496422
61,24.5,-86.875,75.59174499511722,75.14135253906255,67.61239135742193,75.59174499511722,75.14135253906255,67.61239135742193,75.86469282117409,76.49368050707693
62,24.5,-86.25,75.3575653076172,74.92624511718756,67.7986645507813,75.3575653076172,74.92624511718756,67.7986645507813,75.4686415175561,76.03820829610046
63,24.5,-85.625,74.93627624511723,74.51053283691414,67.78872192382818,74.93627624511723,74.51053283691414,67.78872192382818,74.93627624511723,75.38138183593756
64,24.5,-85.0,74.35759521484383,73.8222161865235,67.04236572265629,74.35759521484383,73.8222161865235,67.04236572265629,74.35759521484383,74.83803649902349
65,24.5,-84.375,73.7789038085938,73.24106018066412,65.8123364257813,73.7789038085938,73.24106018066412,65.8123364257813,73.7789038085938,74.25874145507821
66,24.5,-83.75,73.42364990234383,72.89590698242193,65.3904614257813,73.42364990234383,72.89590698242193,65.3904614257813,73.42364990234383,73.89745910644537
67,24.5,-83.125,72.9762084960938,72.42916870117193,65.1092114257813,72.9762084960938,72.42916870117193,65.1092114257813,72.9762084960938,73.48105468750006
68,24.5,-82.5,72.66849365234383,72.09763244628913,63.394685058593794,72.66849365234383,72.09763244628913,63.394685058593794,72.66849365234383,73.21286804199222
69,24.5,-81.875,73.02525146484385,72.33901245117193,61.90406005859379,73.02525146484385,72.33901245117193,61.90406005859379,73.02525146484385,73.6366210937501
70,24.5,-81.25,73.55765380859383,72.89216491699224,61.67906005859379,73.55765380859383,72.89216491699224,61.67906005859379,73.55765380859383,74.23117126464848
71,24.5,-80.625,74.37730224609383,73.80862976074224,62.71490600585942,74.37730224609383,73.80862976074224,62.71490600585942,74.37730224609383,74.96451171875009
72,24.5,-80.0,74.92671630859383,74.36023498535162,63.888520507812544,74.92671630859383,74.36023498535162,63.888520507812544,74.92671630859383,75.44165100097663
73,24.5,-79.375,74.45269287109384,73.91333251953127,64.28831298828129,74.45269287109384,73.91333251953127,64.28831298828129,74.45269287109384,74.95105346679694
74,24.5,-78.75,73.5695678710938,72.82792724609385,63.07849853515629,73.5695678710938,72.82792724609385,63.07849853515629,73.5695678710938,74.18513000488286
